; matrix-scan  -v 1 -matrix_format jaspar -m JASPAR2024_CORE_non-redundant_pfms_jaspar.txt -bginput -markov 1 -pseudo 1 -decimals 1 -2str -origin end -return distrib -return occ_proba -sort_distrib -uth occ_pval 1e-4 -lth occ_sig 0 -uth occ_sig_rank 1 -lth score 5 -i promotores_seq_chr20.fa -seq_format fasta -n skip -o mat_final_promotores2.tab
; Slow counting mode            
; Input files
;	input	promotores_seq_chr20.fa
; Matrix files
;	matrix 1	JASPAR2024_CORE_non-redundant_pfms_jaspar.txt
; Sequence format      	fasta
; Output files
;	output	mat_final_promotores2.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.24313
;		c	0.25321
;		g	0.25756
;		t	0.24610
; Thresholds	lower	upper
;	occ_pval	NA	0.0001
;	occ_sig	0    	NA
;	occ_sig_rank	NA	1    
;	score 	5    	NA
;
; Matrices
;	matrix	name                      	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	135	ZNF136                    	15	4	1	-41.800	17.300	59.100	a:0.243 c:0.253 g:0.258 t:0.246 
;	136	ZNF382                    	24	4	1	-69.300	26.200	95.500	a:0.243 c:0.253 g:0.258 t:0.246 
;	137	ZNF460                    	16	4	1	-49.800	18.800	68.600	a:0.243 c:0.253 g:0.258 t:0.246 
;	138	ZNF528                    	17	4	1	-52.700	20.500	73.200	a:0.243 c:0.253 g:0.258 t:0.246 
;	139	HOXA5                     	8	4	1	-53.400	8.800	62.200	a:0.243 c:0.253 g:0.258 t:0.246 
;	140	HOXD3                     	8	4	1	-62.300	10.000	72.300	a:0.243 c:0.253 g:0.258 t:0.246 
;	141	NEUROG1                   	10	4	1	-62.800	11.200	74.000	a:0.243 c:0.253 g:0.258 t:0.246 
;	142	ZNF707                    	15	4	1	-47.100	18.800	65.900	a:0.243 c:0.253 g:0.258 t:0.246 
;	143	ZNF8                      	20	4	1	-65.500	24.100	89.600	a:0.243 c:0.253 g:0.258 t:0.246 
;	144	Foxn1                     	6	4	1	-51.400	7.000	58.400	a:0.243 c:0.253 g:0.258 t:0.246 
;	145	ELK1::HOXA1               	14	4	1	-40.400	16.500	56.900	a:0.243 c:0.253 g:0.258 t:0.246 
